Food and Serving;serving;Calories;Total Fat;Total Fat;Sodium;Sodium;Potassium;Potassium;Total Carbo-hydrate;Total Carbo-hydrate;Dietary Fiber;Dietary Fiber;Sugars;Protein;Vitamin A;Vitamin C;Calcium;Iron
Asparagus;93;20;0;0;0;0;230;7;4;1;2;8;2;2;10;15;2;2
Bell Pepper;148;25;0;0;40;2;220;6;6;2;2;8;4;1;4;190;2;4
Broccoli;148;45;0.5;1;80;3;460;13;8;3;3;12;2;4;6;220;6;6
Carrot;78;30;0;0;60;3;250;7;7;2;2;8;5;1;110;10;2;2
Cauliflowe;99;25;0;0;30;1;270;8;5;2;2;8;2;2;0;100;2;2
Celery;110;15;0;0;115;5;260;7;4;1;2;8;2;0;10;15;4;2
Cucumber;99;10;0;0;0;0;140;4;2;1;1;4;1;1;4;10;2;2
Green (Snap) Beans;83;20;0;0;0;0;200;6;5;2;3;12;2;1;4;10;4;2
Green Cabbage;84;25;0;0;20;1;190;5;5;2;2;8;3;1;0;70;4;2
Green Onion;25;10;0;0;10;0;70;2;2;1;1;4;1;0;2;8;2;2
Iceberg Lettuce;89;10;0;0;10;0;125;4;2;1;1;4;2;1;6;6;2;2
Leaf Lettuce;85;15;0;0;35;1;170;5;2;1;1;4;1;1;130;6;2;4
Mushrooms;84;20;0;0;15;0;300;9;3;1;1;4;0;3;0;2;0;2
Onion;148;45;0;0;5;0;190;5;11;4;3;12;9;1;0;20;4;4
Potato;148;110;0;0;0;0;620;18;26;9;2;8;1;3;0;45;2;6
Radishes;85;10;0;0;55;2;190;5;3;1;1;4;2;0;0;30;2;2
Summer Squash;98;20;0;0;0;0;260;7;4;1;2;8;2;1;6;30;2;2
Sweet Corn;90;90;2.5;4;0;0;250;7;18;6;2;8;5;4;2;10;0;2
Sweet Potato;130;100;0;0;70;3;440;13;23;8;4;16;7;2;120;30;4;4
Tomato;148;25;0;0;20;1;340;10;5;2;1;4;3;1;20;40;2;4
Apple;242;130;0;0;0;0;260;7;34;11;5;20;25;1;2;8;2;2
Avocado;30;50;4.5;7;0;0;140;4;3;1;1;4;0;1;0;4;0;2
Banana;126;110;0;0;0;0;450;13;30;10;3;12;19;1;2;15;0;2
Cantaloupe;134;50;0;0;20;1;240;7;12;4;1;4;11;1;120;80;2;2
Grapefruit;154;60;0;0;0;0;160;5;15;5;2;8;11;1;35;100;4;0
Grapes;126;90;0;0;15;1;240;7;23;8;1;4;20;0;0;2;2;0
Honeydew Melon;134;50;0;0;30;1;210;6;12;4;1;4;11;1;2;45;2;2
Kiwi;148;90;1;2;0;0;450;13;20;7;4;16;13;1;2;240;4;2
Lemon;58;15;0;0;0;0;75;2;5;2;2;8;2;0;0;40;2;0
Lime;67;20;0;0;0;0;75;2;7;2;2;8;0;0;0;35;0;0
Nectarine;140;60;0.5;1;0;0;250;7;15;5;2;8;11;1;8;15;0;2
Orange;154;80;0;0;0;0;250;7;19;6;3;12;14;1;2;130;6;0
Peach;147;60;0.5;1;0;0;230;7;15;5;2;8;13;1;6;15;0;2
Pear;166;100;0;0;0;0;190;5;26;9;6;24;16;1;0;10;2;0
Pineapple;100;50;0;0;10;0;120;3;13;4;1;4;10;1;2;50;2;2
Plums;151;70;0;0;0;0;230;7;19;6;2;8;16;1;8;10;0;2
Strawberries;147;50;0;0;0;0;170;5;11;4;2;8;8;1;0;160;2;2
Sweet Cherries;200;100;0;0;0;0;350;10;26;9;1;4;16;1;2;15;2;2
Tangerine;109;50;0;0;0;0;160;5;13;4;2;8;9;1;6;45;4;0
Watermelon;280;80;0;0;0;0;270;8;21;7;1;4;20;1;30;25;2;4
